customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5376-XXXXX,Female,1,Yes,Yes,9,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,82.18,739.62,No
7218-XXXXX,Female,0,No,No,56,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,95.91,5370.96,No
7379-XXXXX,Male,1,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,116.5,5592.0,No
7466-XXXXX,Male,0,Yes,Yes,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,80.44,3217.6,No
9332-XXXXX,Male,1,Yes,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,105.73,3912.01,No
4555-XXXXX,Female,0,No,No,65,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Mailed check,116.33,7561.45,No
3977-XXXXX,Female,0,No,No,49,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,46.95,2300.55,No
2857-XXXXX,Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,48.68,2531.36,No
3420-XXXXX,Male,1,Yes,No,48,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,36.38,1746.24,Yes
9166-XXXXX,Male,1,No,Yes,54,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,34.97,1888.38,No
7391-XXXXX,Female,1,No,No,64,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,34.59,2213.76,No
2530-XXXXX,Male,1,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,92.62,2315.5,No
4019-XXXXX,Female,1,No,Yes,15,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,51.41,771.15,No
3202-XXXXX,Male,1,Yes,No,49,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer,37.85,1854.65,No
3335-XXXXX,Male,0,No,No,13,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,24.9,323.7,No
8598-XXXXX,Male,0,No,Yes,13,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,75.98,987.74,No
3744-XXXXX,Male,0,Yes,Yes,33,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,80.74,2664.42,No
4284-XXXXX,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,52.76,3798.72,No
4677-XXXXX,Female,1,No,Yes,10,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,89.29,892.9,Yes
8081-XXXXX,Female,1,Yes,Yes,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,98.99,3662.63,No
8522-XXXXX,Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer,66.74,1001.1,No
2897-XXXXX,Male,1,Yes,No,52,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer,112.91,5871.32,No
8482-XXXXX,Male,0,Yes,No,20,Yes,No phone service,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,65.81,1316.2,No
3637-XXXXX,Female,0,Yes,Yes,15,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card,33.52,502.8,No
9119-XXXXX,Male,1,No,No,6,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.45,632.7,Yes
1266-XXXXX,Female,0,No,Yes,35,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,41.72,1460.2,Yes
5551-XXXXX,Male,1,Yes,Yes,22,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,47.4,1042.8,No
8321-XXXXX,Male,1,No,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,110.35,6731.35,No
8005-XXXXX,Male,0,No,Yes,36,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,55.01,1980.36,No
9292-XXXXX,Female,0,Yes,Yes,25,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,20.8,520.0,Yes
5130-XXXXX,Male,1,Yes,No,5,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,92.78,463.9,No
7142-XXXXX,Male,0,No,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.47,56.94,No
8174-XXXXX,Male,0,Yes,Yes,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,38.34,958.5,No
5349-XXXXX,Female,0,No,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,63.56,1970.36,Yes
4871-XXXXX,Female,0,No,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,119.4,1313.4,No
3846-XXXXX,Female,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,115.07,920.56,No
4168-XXXXX,Male,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card,94.12,6117.8,No
5853-XXXXX,Male,0,No,Yes,15,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,82.46,1236.9,No
7718-XXXXX,Male,0,No,Yes,54,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.71,5330.34,Yes
7557-XXXXX,Female,1,No,Yes,44,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card,44.06,1938.64,No
7405-XXXXX,Female,0,No,No,32,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Mailed check,48.87,1563.84,No
3495-XXXXX,Female,0,Yes,Yes,38,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,48.81,1854.78,No
2442-XXXXX,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,43.35,3121.2,No
8108-XXXXX,Female,1,Yes,No,5,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer,81.92,409.6,No
1537-XXXXX,Male,1,No,No,29,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,No,Mailed check,44.13,1279.77,No
6017-XXXXX,Male,1,Yes,Yes,9,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,20.17,181.53,Yes
2438-XXXXX,Female,0,Yes,No,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,44.64,1205.28,No
1701-XXXXX,Female,0,Yes,No,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,99.4,1590.4,No
8239-XXXXX,Male,1,Yes,No,3,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer,88.12,264.36,No
2350-XXXXX,Female,0,Yes,Yes,61,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,37.39,2280.79,No
8336-XXXXX,Female,1,No,Yes,58,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer,86.61,5023.38,No
2713-XXXXX,Male,0,No,No,20,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,26.05,521.0,No
9202-XXXXX,Male,1,No,No,4,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,80.05,320.2,No
7232-XXXXX,Female,1,No,Yes,56,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,47.46,2657.76,No
9815-XXXXX,Female,1,No,Yes,53,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,38.38,2034.14,No
6033-XXXXX,Female,0,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,41.17,741.06,No
7613-XXXXX,Female,1,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,112.26,2357.46,No
6819-XXXXX,Female,0,No,No,36,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,47.27,1701.72,No
7099-XXXXX,Female,1,No,No,68,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer,109.84,7469.12,No
6955-XXXXX,Male,1,No,No,34,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,75.38,2562.92,No
5275-XXXXX,Male,0,Yes,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,58.26,291.3,No
7316-XXXXX,Female,0,Yes,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,42.44,1655.16,No
7243-XXXXX,Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,23.8,1475.6,No
1105-XXXXX,Female,1,Yes,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,99.03,495.15,Yes
7772-XXXXX,Female,1,Yes,Yes,49,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,77.73,3808.77,No
2009-XXXXX,Male,0,Yes,Yes,29,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,52.13,1511.77,No
9601-XXXXX,Female,1,Yes,No,37,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,62.5,2312.5,Yes
5284-XXXXX,Female,1,No,Yes,41,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,49.1,2013.1,No
2013-XXXXX,Male,0,No,No,35,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card,44.8,1568.0,No
1315-XXXXX,Male,0,Yes,Yes,1,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,102.75,102.75,No
8565-XXXXX,Male,0,Yes,Yes,48,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,98.8,4742.4,No
7265-XXXXX,Male,0,Yes,Yes,19,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,77.94,1480.86,No
3685-XXXXX,Female,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,49.45,1038.45,No
4155-XXXXX,Male,0,No,No,45,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Electronic check,78.05,3512.25,No
5009-XXXXX,Female,0,No,Yes,40,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card,56.53,2261.2,Yes
8132-XXXXX,Male,0,Yes,Yes,45,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer,35.16,1582.2,No
4767-XXXXX,Female,0,No,Yes,15,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,58.97,884.55,No
3244-XXXXX,Male,0,Yes,Yes,41,Yes,No phone service,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer,33.24,1362.84,No
5592-XXXXX,Male,1,No,No,53,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,88.07,4667.71,No
5506-XXXXX,Female,0,No,No,20,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,56.76,1135.2,Yes
8603-XXXXX,Male,1,Yes,Yes,33,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card,34.77,1147.41,No
4835-XXXXX,Female,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,56.54,1526.58,No
5276-XXXXX,Male,1,No,Yes,54,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Mailed check,104.74,5655.96,No
1361-XXXXX,Male,1,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,61.41,2333.58,No
8365-XXXXX,Male,0,No,No,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,105.47,6539.14,No
4481-XXXXX,Female,1,Yes,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.67,53.34,Yes
8401-XXXXX,Female,1,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,69.64,69.64,No
6591-XXXXX,Female,0,Yes,No,70,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,54.59,3821.3,No
9799-XXXXX,Female,1,Yes,No,28,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,63.35,1773.8,No
1720-XXXXX,Male,1,No,No,12,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card,116.07,1392.84,No
1413-XXXXX,Female,1,No,No,65,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card,114.1,7416.5,No
6933-XXXXX,Female,1,No,Yes,62,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card,70.76,4387.12,No
3645-XXXXX,Female,1,No,Yes,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,39.14,2230.98,No
6515-XXXXX,Male,0,Yes,Yes,45,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,23.2,1044.0,No
9492-XXXXX,Female,1,No,No,10,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card,57.51,575.1,Yes
4963-XXXXX,Male,0,Yes,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,102.65,205.3,No
8733-XXXXX,Male,0,Yes,No,29,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Mailed check,22.17,642.93,No
8690-XXXXX,Male,1,No,No,32,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,75.97,2431.04,No
5368-XXXXX,Female,1,No,Yes,56,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,85.04,4762.24,No
7369-XXXXX,Male,0,Yes,Yes,27,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,41.68,1125.36,No
9614-XXXXX,Female,0,Yes,No,47,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,118.86,5586.42,No
4834-XXXXX,Male,1,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.53,98.12,Yes
6849-XXXXX,Female,1,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,108.0,1728.0,Yes
9479-XXXXX,Male,0,No,No,3,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,60.8,182.4,No
3073-XXXXX,Female,0,Yes,No,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,116.65,8282.15,No
6378-XXXXX,Male,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card,59.76,2211.12,No
5127-XXXXX,Male,1,No,No,16,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,80.2,1283.2,No
1925-XXXXX,Male,0,Yes,Yes,3,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,49.6,148.8,No
2455-XXXXX,Male,1,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Credit card,78.89,946.68,No
2066-XXXXX,Female,0,No,Yes,66,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,91.08,6011.28,No
6894-XXXXX,Female,1,Yes,Yes,68,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,87.34,5939.12,No
8264-XXXXX,Male,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Mailed check,54.59,2947.86,No
7512-XXXXX,Female,1,Yes,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,67.42,741.62,No
5560-XXXXX,Male,1,Yes,No,19,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,35.59,676.21,No
1232-XXXXX,Male,0,No,Yes,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,62.28,2864.88,Yes
3400-XXXXX,Female,1,No,Yes,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,114.52,3893.68,No
9742-XXXXX,Male,0,Yes,No,35,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer,30.51,1067.85,No
6133-XXXXX,Male,0,Yes,Yes,48,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card,74.4,3571.2,No
2539-XXXXX,Male,1,Yes,No,59,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card,70.53,4161.27,Yes
9342-XXXXX,Female,0,No,Yes,32,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,100.55,3217.6,No
5223-XXXXX,Female,0,No,Yes,57,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,114.19,6508.83,No
9946-XXXXX,Male,1,No,No,41,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,67.2,2755.2,Yes
9448-XXXXX,Male,0,Yes,Yes,3,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,93.61,280.83,No
8008-XXXXX,Female,1,No,Yes,68,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,112.87,7675.16,No
3128-XXXXX,Male,1,No,Yes,38,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer,41.17,1564.46,No
9572-XXXXX,Female,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,52.73,2109.2,No
1648-XXXXX,Male,1,No,No,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,47.32,2839.2,No
1361-XXXXX,Female,1,Yes,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,53.48,1604.4,No
3006-XXXXX,Male,1,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,112.52,7876.4,No
4932-XXXXX,Female,0,No,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,79.58,4456.48,No
1143-XXXXX,Female,0,No,No,13,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,117.9,1532.7,Yes
5494-XXXXX,Male,1,No,Yes,71,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card,64.71,4594.41,Yes
9840-XXXXX,Female,1,No,Yes,15,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Mailed check,40.94,614.1,No
6222-XXXXX,Female,1,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.62,554.68,No
6459-XXXXX,Male,0,No,Yes,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,68.43,3832.08,No
8656-XXXXX,Male,0,No,Yes,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,63.91,2620.31,No
2300-XXXXX,Male,0,Yes,No,69,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,91.36,6303.84,No
1191-XXXXX,Female,1,Yes,Yes,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,36.05,2343.25,No
2483-XXXXX,Female,1,No,Yes,60,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,84.67,5080.2,No
3403-XXXXX,Female,0,Yes,Yes,3,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,97.33,291.99,No
8079-XXXXX,Female,0,No,No,42,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Bank transfer,85.87,3606.54,No
2717-XXXXX,Male,0,No,No,58,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,78.96,4579.68,No
4732-XXXXX,Female,0,Yes,Yes,30,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,25.01,750.3,No
6939-XXXXX,Male,1,Yes,Yes,13,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,73.66,957.58,No
9303-XXXXX,Female,0,No,No,18,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,77.19,1389.42,No
